id,jump,jump_date,jump_type,location,team,aircraft,container,canopy,altitude,delay,formation,remarks
1,1,6/4/2010,,14,,1,,15,10000,0,,
2,2,6/11/2011,,9,,5,,15,13000,0,,
3,3,6/30/2012,,3,,6,,15,14000,0,,
4,4,8/11/2012,,3,,6,,9,13500,60,,"good exit, nice response to legs out, good alt awareness, very nice canopy - don't forget the PLF, great skydive"
5,5,8/11/2012,,3,,6,,9,13500,60,,"nice exit - COA nice response legs out 2 nice PPCT's - ok L180 - weak R180 - great fo2ard, good AA, wave @5500 - great canopy control - flare all the way - PLF"
6,6,8/12/2012,,3,,6,,9,12500,60,,yucky exit - COA - 1PPCT - got several legs out - stopped turn - nice pull @5500 - work on presentation and legs out - great canopy control
7,7,8/12/2012,,3,,6,,9,13000,60,,need to present on exit more - nice 90's - wave @5000 and pull - great canopy - nice PLF
8,8,8/12/2012,,3,,6,,9,13000,60,,"stable exit - still need to present - nice 360 - good fo2ard - bad aim - 2 nice 360's, good AA, wave @5000 and pull, maintain body position during pull, low tight pattern, nice flare"
9,9,8/12/2012,,3,,6,,9,13500,60,,"great exit, nice BR, one self hug, one Y2BR - nice closing, one KP some back sliding - great canopy control, flared a little high"
10,10,8/17/2012,,3,,6,,9,13500,60,,"Dove out front loop, got stable - back loop on heading - barrel roll on heading - front loop (halfway), off heading, did again and rallied - very stable and controlled - good pull - good canopy"
11,11,8/17/2012,,3,,6,,9,13500,60,,"good jump out exit and practice pull - slow into 8, then away on heading and fast - good job - good pull - good canopy - a little high on final and very timid on low turns - can turn harder close to ground"
12,12,8/17/2012,,3,,6,,9,13500,60,,"8ing fo2ard, need to straigten legs - keep arms out slightly - push down more with hands"
13,13,8/19/2012,,3,,6,,6,5000,3,,"good launch, took eyes off airplane, rotated left, recovered and pulled at 3 seconds. good jump!"
14,14,8/19/2012,,3,,6,,6,13500,60,,"good front float exit - good aggressive fly fo2ard and docks (4 docks) - ok 8, arms were fo2ard, but still had nice speed - good canopy control and landing"
